title	doi	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis	created	deposited	published.online	indexed	issue	issued	member	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	type	volume	short.container.title	published.print	language	page	update.policy	archive	subtitle	archive_	na.
eNOS gene haplotype is indirectly associated with the recovery of cardiovascular autonomic modulation from exercise	10.1016/j.autneu.2014.09.001	http://dx.doi.org/10.1016/j.autneu.2014.09.001	NA	Autonomic Neuroscience	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Bruno M. Silva, Thales C. Barbosa, Fabricia J. Neves, Allan K. Sales, Natalia G. Rocha, Renata F. Medeiros, Felipe S. Pereira, Vinicius P. Garcia, Fabiane T. Cardoso, Antonio C.L. Nobrega	1566-0702	0	4.3	0.69	A3	2014-09-09	2022-04-16	NA	2022-04-16	NA	2014-12	78	10.1016	Elsevier BV	1	Crossref	51	51	0	Cellular and Molecular Neuroscience,Neurology (clinical),Endocrine and Autonomic Systems	journal-article	186	Autonomic Neuroscience	2014-12	en	77-84	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA
Estádio do Maracanã: percepções a partir da reestruturação arquitetônica de 2010	10.1016/j.rbce.2018.01.006	http://dx.doi.org/10.1016/j.rbce.2018.01.006	NA	Revista Brasileira de Ciências do Esporte	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Ana Beatriz Correia de Oliveira Tavares, Sebastião Josué Votre, Silvio de Cassio Costa Telles, Fabiano Pries Devide	0101-3289	0	0.7	0.216	B1	2018-02-03	2020-01-02	NA	2022-03-31	2	2018-04	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	17	17	0	Physical Therapy, Sports Therapy and Rehabilitation,Health (social science)	journal-article	40	Revista Brasileira de Ciências do Esporte	2018-04	pt	205-212	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA
ESTÁDIO DO MARACANÃ: UM ESTUDO COMPARATIVO ENTRE AS REPRESENTAÇÕES SOCIAIS DOS TORCEDORES SOBRE O ANTIGO E O NOVO LUGAR DO FUTEBOL	10.22456/1982-8918.75681	http://dx.doi.org/10.22456/1982-8918.75681	NA	Movimento (ESEFID/UFRGS)	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Ana Beatriz Correia de Oliveira Tavares, Silvio De Cassio Costa Telles, Sebastião Josué Votre	1982-8918,0104-754X	0	0.8	0.233	B1	2018-07-10	2018-07-10	2018-06-24	2022-04-05	2	2018-06-24	9749	10.22456	Universidade Federal do Rio Grande do Sul	1	Crossref	0	0	0	Education	journal-article	24	Movimento	NA	NA	353	NA	NA	NA	NA	NA
Estudo sobre Igualdade de Gênero em uma Escola de Ensino Médio de Comunidade do Rio de Janeiro, RJ	10.17921/2447-8733.2019v20n2p201-209	http://dx.doi.org/10.17921/2447-8733.2019v20n2p201-209	NA	Revista de Ensino, Educação e Ciências Humanas	NA	NA	NA	2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Renata Corrêa Sinimbú Almeida, Maria Geralda De Miranda, Roy Reis Friede, Patricia Maria Dusek, Kátia Eliane Santos Avelar	2447-8733	0	NA	NA	A3	2019-07-04	2019-07-04	2019-06-27	2022-03-30	2	2019-06-27	7245	10.17921	Editora e Distribuidora Educacional	1	Crossref	0	0	0	General Earth and Planetary Sciences,General Engineering,General Environmental Science	journal-article	20	Rev. Ens. Educ. Cienc. Hum.	NA	NA	201	NA	NA	NA	NA	NA
Estudos Etnofarmacológicos de óelos essenciais com atividade larvicida contra o Mosquito Aedes Aegypt	10.15202/1981996x.2017v11n1p86	http://dx.doi.org/10.15202/1981996x.2017v11n1p86	NA	Semioses	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Diego G. da R. Voris, Carlos H. V. Afonso, Carlos A. C. Almeida Filho, Conceição O. J. Fernandes, Danielle Q. M. Brito, Caroline S. Moraes, Keila S. C. Lima, José B. P. Lima, Maria G. Mirand, Antônio Luis dos Santos Lima, Katia E. S. Avelar, Reis Friede, Antonio L. S. Lima	1981-996X	2	NA	NA	B3	2017-04-22	2017-04-22	2017-04-21	2022-04-06	1	2017-04-21	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	journal-article	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
Exposure Limits and its Applications in Chemical Warfare	10.5935/1984-6835.20140038	http://dx.doi.org/10.5935/1984-6835.20140038	NA	Revista Virtual de Química	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Erick B. F. Galante, Antônio Luís S. Lima, Tanos C. C. França, Assed N. Haddad	1984-6835	0	0.7	0.151	B2	2014-04-23	2016-11-28	NA	2022-04-02	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	General Chemistry	journal-article	6	NA	2014	en	NA	NA	NA	NA	NA	NA
Fluorescent Lamp Glass Waste Incorporation into Clay Ceramic: A Perfect Solution	10.1007/s11837-016-1985-z	http://dx.doi.org/10.1007/s11837-016-1985-z	NA	JOM	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Alline Sardinha Cordeiro Morais, Carlos Maurício Fontes Vieira, Rubén Jesus Sanchez Rodriguez, Sergio Neves Monteiro, Veronica Scarpini Candido, Carlos Luiz Ferreira	1047-4838,1543-1851	9	4.9	0.569	A2	2016-06-17	2017-06-24	2016-06-17	2023-03-09	9	2016-06-17	297	10.1007	Springer Science and Business Media LLC	1	Crossref	58	58	9	General Engineering,General Materials Science	journal-article	68	JOM	2016-09	en	2425-2434	http://dx.doi.org/10.1007/springer_crossmark_policy	NA	NA	NA	NA
Functional anatomy and intestinal morphometry of bullfrog tadpoles subjected to a dietary regime with commercial feeds	10.1590/1413-70542016404001116	http://dx.doi.org/10.1590/1413-70542016404001116	NA	Ciência e Agrotecnologia	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	José Teixeira de Seixas Filho, Silvia Conceição Reis Pereira Mello, Fabiane Toste Cardoso, Rodrigo Otavio Lopes de Souza	1413-7054	1	2.5	0.34	A2	2016-08-20	2017-07-26	NA	2022-04-22	4	2016-08	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	24	24	1	Soil Science,General Veterinary,Agronomy and Crop Science,Animal Science and Zoology,Food Science	journal-article	40	Ciênc. agrotec.	2016-08	NA	464-474	NA	NA	NA	NA	NA
Granite Waste from Diamond Wire Sawing Addition into Concrete for Civil Construction	10.4028/www.scientific.net/msf.820.503	http://dx.doi.org/10.4028/www.scientific.net/msf.820.503	NA	Materials Science Forum	NA	NA	NA	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Leonardo Gonçalves Pedroti, Carlos Maurício Fontes Vieira, Jonas Alexandre, Gustavo de Castro Xavier, Verônica Scarpini Candido, Sergio Neves Monteiro	1662-9752	3	1.0	0.185	B3	2015-06-26	2021-01-12	2015-06	2023-03-09	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	9	9	3	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	journal-article	820	MSF	NA	NA	503-508	NA	NA	NA	NA	NA
Histopathological aspects of the liver of free-living and farmed bullfrogs (Lithobates catesbeianus)	10.1590/s1806-92902017000400001	http://dx.doi.org/10.1590/s1806-92902017000400001	NA	Revista Brasileira de Zootecnia	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	José Teixeira de Seixas Filho, Claudio Barberini Camargo Filho, Marcelo Maia Pereira, Ana Maria Cristina Rebello Pinto da Fonseca Martins, Oswaldo Pinto Ribeiro Filho, Sílvia Conceição Reis Pereira Mello, Luara Lucena Cassiano, Marcio Hipolito	1516-3598	5	1.8	0.292	A2	2017-06-10	2017-06-20	NA	2022-03-30	4	2017-04	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	23	23	5	Animal Science and Zoology	journal-article	46	R. Bras. Zootec.	2017-04	NA	275-279	NA	NA	NA	NA	NA
Identification of Sulfur and Nitrogen Mustards by GC/FPD/NPD-MS	10.5935/1984-6835.20140039	http://dx.doi.org/10.5935/1984-6835.20140039	NA	Revista Virtual de Química	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Roberto B. Sousa, Paulo F. P. M. Alves, Samir F. Cavalcante, Leandro B. Bernardo, Cíntia C. Barros, Cintia N. Ferreira, Antonio L. S. Lima	1984-6835	2	0.7	0.151	B2	2014-04-23	2016-11-28	NA	2022-12-10	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	2	General Chemistry	journal-article	6	NA	2014	en	NA	NA	NA	NA	NA	NA
IGUALDADE DE PODER ENTRE HOMENS E MULHERES: REFLEXÕES A PARTIR DA AGENDA 2030 DA ONU	10.30749/2594-8261.v2n2p245-257	http://dx.doi.org/10.30749/2594-8261.v2n2p245-257	NA	Lex Cult: Revista do CCJF	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Maria Geralda De Miranda, Débora Coqui, Patrícia Maria Dusek, Kátia Eliane Santos Avelar	2594-8261	0	NA	NA	B2	2018-10-15	2018-10-17	2018-09-05	2022-04-05	2	2018-09-05	12201	10.30749	Centro Cultural Justica Federal	1	Crossref	0	0	0	NA	journal-article	2	Lex Cult	NA	NA	245	NA	NA	NA	NA	NA
IMPACTO DAS COMUNIDADES DE POBREZA RELATIVA NOS MANGUEZAIS:  TRABALHADORES DA PESCA ARTESANAL INVISÍVEIS	10.15202/1981896.2018v23n46p157	http://dx.doi.org/10.15202/1981896.2018v23n46p157	NA	Revista Augustus	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	José Teixeira De Seixas Filho, Sílvia Conceição Reis Pereira Mello, Rafael Antunes Da Silva, André Luiz Reis Gracio	1981-1896	1	NA	NA	NA	2018-12-18	2018-12-18	2018-12-06	2022-10-15	46	2018-12-06	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	journal-article	23	revistaaugustus	NA	NA	157-167	NA	NA	NA	NA	NA
IMPACTOS ECONÔMICOS DO DESASTRE DA SAMARCO	10.30749/2594-8261.v2n1p153-168	http://dx.doi.org/10.30749/2594-8261.v2n1p153-168	NA	Lex Cult: Revista do CCJF	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Fabiano Martins Carvalho Dos Santos, Hugo Almeida Carlos Satiro, Paulo César Encarnação, Maria Geralda De Miranda	2594-8261	0	NA	NA	B2	2018-10-17	2018-10-17	2018-05-29	2022-04-06	1	2018-05-29	12201	10.30749	Centro Cultural Justica Federal	1	Crossref	0	0	0	NA	journal-article	2	Lex Cult	NA	NA	153	NA	NA	NA	NA	NA
Impactos socioambientais do turismo na Ilha Grande–RJ	10.21879/faeeba2358-0194.2018.v27.n52.p101-121	http://dx.doi.org/10.21879/faeeba2358-0194.2018.v27.n52.p101-121	NA	Revista da FAEEBA - Educação e Contemporaneidade	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Gercton Bernardo Coitinho, Maria Geralda Miranda, Reis Friede	2358-0194,0104-7043	0	NA	NA	A2	2018-08-31	2021-05-06	2018-08-31	2022-04-03	52	2018-08-31	9345	10.21879	Revista da FAEEBA	1	Crossref	0	0	0	General Earth and Planetary Sciences,General Environmental Science	journal-article	27	Rev. FAEEBA - Educ. e Contemp.	NA	NA	101-121	NA	NA	NA	NA	NA
IMPLANTAÇÃO DE ATIVIDADES DE BRIGADA DE INCÊNDIO NA UNIDADE ESCOLAR	10.15202/1981996x.2018v12n1p100	http://dx.doi.org/10.15202/1981996x.2018v12n1p100	NA	Semioses	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Ivan Gaspar, Katherine Bittencourt Mendes Leitão, André Luiz Tenório Rezende	1981-996X	0	NA	NA	B3	2018-05-30	2019-09-12	2018-05-29	2022-04-05	1	2018-05-29	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	12	Semioses	NA	NA	100-113	NA	NA	NA	NA	NA
IMPORTANCE OF THE NUMERICAL SIMULATION IN A SOLAR CHIMNEY ANALYSIS	10.15202/1981996x.2017v11n4p1	http://dx.doi.org/10.15202/1981996x.2017v11n4p1	NA	Semioses	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Filipe Alcântara Soares, Priscila Pires Araújo, André Luiz Tenório Rezende	1981-996X	0	NA	NA	B3	2017-12-28	2017-12-28	2017-12-26	2022-03-31	4	2017-12-26	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
Improvement of Clay Ceramic Properties by Glass Polishing Sludge Incorporation	10.4028/www.scientific.net/msf.820.432	http://dx.doi.org/10.4028/www.scientific.net/msf.820.432	NA	Materials Science Forum	NA	NA	NA	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Juliana Simões Chagas Licurgo, Carlos Mauricio Fontes Vieira, Veronica Scarpini Candido, Sergio Neves Monteiro	1662-9752	1	1.0	0.185	B3	2015-06-26	2021-01-12	2015-06	2022-04-07	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	23	23	1	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	journal-article	820	MSF	NA	NA	432-437	NA	NA	NA	NA	NA
In vitro evaluation of neutral oximes as reactivators of parathion-inhibited electric eel acetylcholinesterase	10.14429/dlsj.2.10723	http://dx.doi.org/10.14429/dlsj.2.10723	NA	Defence Life Science Journal	NA	NA	NA	2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Joselia A. Lima, Laura P.A.N. Cavalcanti, Alcino P. Aguiar, Claudia M. Rezende, Keila S.C. Lima, Antonio L.S. Lima	2456-0537,2456-379X	1	0.9	0.158	B4	2017-12-22	2018-01-16	2017-08-03	2022-04-06	3	2017-08-03	5551	10.14429	Defence Scientific Information and Documentation Centre	1	Crossref	0	0	1	General Pharmacology, Toxicology and Pharmaceutics,General Agricultural and Biological Sciences,General Biochemistry, Genetics and Molecular Biology	journal-article	2	Def. Life. Sc. Jl.	NA	NA	363	NA	NA	NA	NA	NA
Influence of Martensitic Transformation on the Fatigue of Low Temperature Metastable Stainless Steel	10.4028/www.scientific.net/msf.869.405	http://dx.doi.org/10.4028/www.scientific.net/msf.869.405	NA	Materials Science Forum	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Sergio Neves Monteiro, Verônica Scarpini Cândido, Luis Carlos da Silva, Frederico Muylaert Margem	1662-9752	0	1.0	0.185	B3	2016-08-31	2021-01-12	2016-08	2022-04-02	NA	2016-08	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	0	0	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	journal-article	869	MSF	NA	NA	405-410	NA	NA	NA	NA	NA
Influence of Stem Cell Therapy on Thyroid Function and Reactive Oxygen Species Production in Diabetic Rats	10.1055/a-0588-7944	http://dx.doi.org/10.1055/a-0588-7944	NA	Hormone and Metabolic Research	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Diorney da Silva, Mariana de Freitas, Gustavo Cahil, Vitória de São José, Felippe Neto, Ricardo Cardoso, Vânia da Costa, Rodrigo Fortunato, Denise de Carvalho, Emiliano Medei, Andrea Ferreira	0018-5043,1439-4286	0	4.8	0.579	B1	2018-04-05	2018-04-05	2018-04-05	2022-04-06	04	2018-04	194	10.1055	Georg Thieme Verlag KG	1	Crossref	0	0	0	Biochemistry (medical),Clinical Biochemistry,Endocrinology,Biochemistry,General Medicine,Endocrinology, Diabetes and Metabolism	journal-article	50	Horm Metab Res	2018-04	en	331-339	NA	NA	NA	NA	NA
JUSTIÇA AMBIENTAL EM PROL DOS RESIDUOS INDUSTRIAIS	10.15202/1981996x.2015v9n1p67	http://dx.doi.org/10.15202/1981996x.2015v9n1p67	NA	Semioses	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Alexandre Jesus Pereira, Katia Eliane dos Santos Avelar, Antonio Luis dos Santos Lima, Roy Reis Friede, Maria Geralda de Miranda	1981-996X	0	NA	NA	B3	2016-03-28	2016-03-28	2016-03-24	2022-03-31	1	2016-03-24	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	9	NA	NA	NA	NA	NA	NA	NA	NA	NA
Measurement of the Inactivation of Ochratoxin by Gamma Radiation. An example of the Potential use of Ionizing Radiation in decontamination of chemical agents	10.5935/1984-6835.20140047	http://dx.doi.org/10.5935/1984-6835.20140047	NA	Revista Virtual de Química	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Monique Cardozo, Stefânia Priscila de Souza, Tanos C. C. França, Claudia M. Rezende, Angelo C. Pinto, Antônio L. dos Santos Lima, Keila dos S. Cople Lima	1984-6835	0	0.7	0.151	B2	2014-04-23	2016-11-28	NA	2022-04-04	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	General Chemistry	journal-article	6	NA	2014	en	NA	NA	NA	NA	NA	NA
Metabolomics of Physical Exercise: A Powerful Assessment Tool	10.21577/1984-6835.20180084	http://dx.doi.org/10.21577/1984-6835.20180084	NA	Revista Virtual de Química	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Celso S. Sasaqui, Keila S. C. Lima, Roberto B. Sousa, Nicolis A. de Araújo, José Carlos C. S. Pinto, Anna P. Pierucci, Antonio Luís S. Lima	1984-6835	1	0.7	0.151	B2	2018-11-13	2018-12-13	2018	2022-03-31	5	2018	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	1	General Chemistry	journal-article	10	Rev. Virtual Quim.	NA	NA	1207-1224	NA	NA	NA	NA	NA
Microstructural Analysis of Clayey Ceramics Incorporated with Fluorescent Lamp Glass Waste	10.4028/www.scientific.net/msf.820.468	http://dx.doi.org/10.4028/www.scientific.net/msf.820.468	NA	Materials Science Forum	NA	NA	NA	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Thais Mardegan Louzada, Alline Sardinha Cordeiro Morais, Carlos Mauricio Fontes Vieira, Veronica Scarpini Candido, Sergio Neves Monteiro	1662-9752	1	1.0	0.185	B3	2015-06-26	2021-01-12	2015-06	2022-04-04	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	16	16	1	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	journal-article	820	MSF	NA	NA	468-473	NA	NA	NA	NA	NA
Mycotoxins and their Potential as Warfare Agents	10.5935/1984-6835.20140046	http://dx.doi.org/10.5935/1984-6835.20140046	NA	Revista Virtual de Química	NA	NA	NA	2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Marcelo C. dos Santos, Roberto B. Sousa, Sérgio Eduardo M. Oliveira, Keila S. C. Lima, Antônio Luiz S. Lima	1984-6835	0	0.7	0.151	B2	2014-04-23	2016-11-28	NA	2022-04-04	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	General Chemistry	journal-article	6	NA	2014	en	NA	NA	NA	NA	NA	NA
NEUROANATOMIA E COMUNICAÇÃO	10.30749/2594-8261.v3n2p182-198	http://dx.doi.org/10.30749/2594-8261.v3n2p182-198	NA	Lex Cult Revista do CCJF	NA	NA	NA	2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Daniella Cavalcante Antunes, Kátia Eliane Santos Avelar, Reis Friede	2594-8261	0	NA	NA	B2	2020-05-14	2020-05-14	2019-10-10	2022-03-29	2	2019-10-10	12201	10.30749	Centro Cultural Justica Federal	1	Crossref	0	0	0	NA	journal-article	3	LexCult	NA	NA	182	NA	NA	NA	NA	NA
O DEFICIENTE VISUAL E A EDUCAÇÃO INCLUSIVA	10.15202/1981996x.2018v12n4p58	http://dx.doi.org/10.15202/1981996x.2018v12n4p58	NA	Semioses	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Elaine Souza Da Silva, Maria Geralda De Miranda, Reis Friede, Patricia Maria Dusek, Kátia Eliane Santos Avelar	1981-996X	0	NA	NA	B3	2018-12-19	2019-09-12	2018-12-19	2022-04-06	4	2018-12-19	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	12	Semioses	NA	NA	58-76	NA	NA	NA	NA	NA
O DESENVOLVIMENTO LOCAL SOB A PERSPECTIVA DO TRABALHO: UM ESTUDO DE CASO DA FÁBRICA DE TECIDOS DE BANGU	10.15202/1981996x.2018v12n2p83	http://dx.doi.org/10.15202/1981996x.2018v12n2p83	NA	Semioses	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Gercton Bernardo Coitinho, Ana Christina Tavares Martins, Maria Geralda De Miranda, Patricia Maria Dusek, Kátia Eliane Santos Avelar	1981-996X	0	NA	NA	B3	2018-09-06	2018-09-06	2018-07-27	2022-04-04	2	2018-07-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	12	Semioses	NA	NA	83-96	NA	NA	NA	NA	NA
O ESPORTE SOCIAL COMO INSTRUMENTO DE DESENVOLVIMENTO LOCAL: ANÁLISE DA EXPECTATIVA DE JOVENS DO INSTITUTO IRMÃOS NOGUEIRA SOB A INFLUÊNCIA DA MÍDIA	10.15202/1981996x.2018v12n1p1	http://dx.doi.org/10.15202/1981996x.2018v12n1p1	NA	Semioses	NA	NA	NA	2018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	Raphael Luz, Felipe Da Silva Triani, José Teixeira de Seixas Filho, Jorge Felipe Fonseca Moreira (Columá)	1981-996X	0	NA	NA	B3	2018-05-30	2019-09-12	2018-05-25	2022-04-01	1	2018-05-25	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	12	Semioses	NA	NA	1-13	NA	NA	NA	NA	NA
O ESTADO DA ARTE DA REPRESA RIBEIRÃO DAS LAJES	10.15202/10.15202/1981-996x.2016v10n1p71	http://dx.doi.org/10.15202/10.15202/1981-996x.2016v10n1p71	NA	Semioses	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Luana Vasconcelos Barbosa, Erik Terra Abrantes, José Teixeira De Seixas Filho	1981-996X	1	NA	NA	B3	2016-09-23	2016-11-16	2016-09-23	2022-04-03	1	2016-09-23	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	journal-article	10	NA	NA	NA	NA	NA	NA	NA	NA	NA
O ESTADO DA ARTE DO RESERVATÓRIO JAGUARI NO ABASTECIMENTO DA CIDADE DO RIO DE JANEIRO	10.15202/1981996x.2015v9n2p12	http://dx.doi.org/10.15202/1981996x.2015v9n2p12	NA	Semioses	NA	NA	NA	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	Ana Lucia Soares, Roselena Montenegro dos Anjos Machado, José Teixeira de Seixas Filho	1981-996X	0	NA	NA	B3	2016-04-25	2016-04-25	2016-04-06	2022-04-02	2	2016-04-06	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	journal-article	9	NA	NA	NA	NA	NA	NA	NA	NA	NA
