journal	created	deposited	published.online	doi	indexed	issn	issue	issued	member	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.print	language	page	update.policy	archive	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
Acta Scientiarum. Biological Sciences	2014-02-13	2014-02-13	2014-02-13	10.4025/actascibiolsci.v36i1.16757	2022-04-05	1807-863X,1679-9283	1	2014-02-13	2451	10.4025	Universidade Estadual de Maringa	1	Crossref	0	0	1	General Agricultural and Biological Sciences,General Biochemistry, Genetics and Molecular Biology	&lt;b&gt;Influence of the number of feeding environments on the performance of bullfrog tadpoles&lt;/b&gt; - doi: 10.4025/actascibiolsci.v36i1.16757	journal-article	http://dx.doi.org/10.4025/actascibiolsci.v36i1.16757	36	Acta Sci. Biol. Sci.	NA	NA	NA	NA	NA	NA	NA	NA	Airton Antonio Castagna, José Teixeira Seixas Filho, Eliane Rodrigues, Sílvia Conceição Reis Pereira Mello, Jorge Luiz Pereira Lima, Marcelo Maia Pereira	2014	0	TRUE	0.9	0.201	B2
Acta Scientiarum. Biological Sciences	2013-12-19	2013-12-19	2013-12-18	10.4025/actascibiolsci.v35i4.15981	2022-04-07	1807-863X,1679-9283	4	2013-12-18	2451	10.4025	Universidade Estadual de Maringa	1	Crossref	0	0	2	General Agricultural and Biological Sciences,General Biochemistry, Genetics and Molecular Biology	&lt;b&gt;Liver histopathological changes in breeding bullfrogs&lt;/b&gt; - doi: 10.4025/actascibiolsci.v35i4.15981	journal-article	http://dx.doi.org/10.4025/actascibiolsci.v35i4.15981	35	Acta Sci. Biol. Sci.	NA	NA	NA	NA	NA	NA	NA	NA	José Teixeira de Seixas Filho, Márcio Hipólito, Marcelo Maia Pereira, Ana Maria C. R. Pinto da Fonseca Martins, Eliane Rodrigues, Sílvia Conceição Reis Pereira Mello	2013	2	TRUE	0.9	0.201	B2
Semioses	2019-09-25	2019-09-25	2019-09-24	10.15202/1981996x.2019v13n3p76-86	2022-04-01	1981-996X	3	2019-09-24	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	A QUARTA REVOLUÇÃO INDUSTRIAL SOB O TRIPÉ DA SUSTENTABILIDADE	journal-article	http://dx.doi.org/10.15202/1981996x.2019v13n3p76-86	13	Semioses	NA	NA	76-86	NA	NA	NA	NA	NA	Meline Melegario Lima, Maria Geralda De Miranda, Patricia Maria Dusek, Kátia Eliane Santos Avelar	2019	0	FALSE	NA	NA	B3
Revista Brasileira de Política e Administração da Educação - Periódico científico editado pela ANPAE	2019-09-03	2019-09-03	2019-08-27	10.21573/vol35n22019.91228	2022-04-01	2447-4193,1678-166X	2	2019-08-27	9025	10.21573	Revista Brasileira de Politica e Administracao da Educacao - RBPAE	1	Crossref	0	0	0	Ocean Engineering,Safety, Risk, Reliability and Quality	A TRAJETÓRIA DA EDUCAÇÃO BRASILEIRA NO CONTEXTO ECONÔMICO	journal-article	http://dx.doi.org/10.21573/vol35n22019.91228	35	RBPAE	NA	NA	369	NA	NA	NA	NA	NA	ANDRÉA MARIA DE MELO COUTO DE OLIVEIRA, Patricia Maria Dusek, Kátia Eliane Santos Avelar	2019	0	TRUE	NA	NA	A1
Semioses	2016-09-23	2016-11-16	2016-09-23	10.15202/10.15202/1981-996x.2016v10n1p1	2022-03-29	1981-996X	1	2016-09-23	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	A UNIVERSIDADE RUMO À EDUCAÇÃO DO NOVO MILÊNIO, POR UMA FORMAÇÃO DOCENTE INTERDISCIPLINAR	journal-article	http://dx.doi.org/10.15202/10.15202/1981-996x.2016v10n1p1	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	Silvia Helena Mousinho, Maria Geralda De Miranda	2016	0	TRUE	NA	NA	B3
Revista Augustus	2018-12-18	2018-12-18	2018-12-06	10.15202/1981896.2018v23n46p30	2022-10-10	1981-1896	46	2018-12-06	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	A VIOLÊNCIA SIMBÓLICA NA SOCIEDADE DO CANSAÇO DO SÉCULO XXI	journal-article	http://dx.doi.org/10.15202/1981896.2018v23n46p30	23	revistaaugustus	NA	NA	30-53	NA	NA	NA	NA	NA	Francisco Antonio Vieira Cordeiro, Reis Friede, Maria Geralda De Miranda	2018	1	FALSE	NA	NA	NA
Materials Science Forum	2015-06-26	2021-01-12	2015-06	10.4028/www.scientific.net/msf.820.419	2022-04-03	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	17	17	5	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Addition of Ornamental Stone Waste to Improve Distinct Formulations of Clayey Ceramics	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.419	820	MSF	NA	NA	419-424	NA	NA	NA	NA	NA	Carlos Mauricio Fontes Vieira, Thiago Samarão Motta, Verônica Scarpini Cândido, Sergio Neves Monteiro	2015	5	FALSE	1.0	0.185	B3
Sport, Education and Society	2014-11-13	2019-08-17	2014-11-13	10.1080/13573322.2014.979145	2022-04-01	1357-3322,1470-1243	7	2014-11-13	301	10.1080	Informa UK Limited	1	Crossref	35	35	0	Education,Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	American influencies in Brazilian physical education: clues in the specialised periodical press (1932–1950)	journal-article	http://dx.doi.org/10.1080/13573322.2014.979145	21	Sport, Education and Society	2016-10-02	en	1053-1070	http://dx.doi.org/10.1080/tandf_crossmark_01	NA	NA	NA	NA	Omar Schneider, Amarílio Ferreira Neto, André da Silva Mello, Wagner dos Santos, Sebastião Josué Votre, Wallace Rocha Assunção	2014	0	FALSE	6.9	1.129	A1
Revista Valore	2023-05-16	2023-05-16	2021-01-07	10.22408/reva502020337e-5013	2023-05-17	2526-043X,2525-9008	NA	2021-01-07	9701	10.22408	Instituto de Cultura Tecnica Sociedade Civil Ltda	1	Crossref	0	0	0	Industrial and Manufacturing Engineering,Surfaces, Coatings and Films	ANÁLISE DA VIOLÊNCIA DOMÉSTICA NO AMBIENTE DA FAVELA	journal-article	http://dx.doi.org/10.22408/reva502020337e-5013	5	REVA	NA	NA	NA	NA	NA	NA	NA	NA	José Teixeira  de Seixas Filho, Flavia Miranda de Freitas Xerfan, Sílvia Conceição Reis Pereira Mello, Patrícia Maria Dusek	2021	0	TRUE	NA	NA	B2
Semioses	2017-10-30	2017-10-30	2017-10-27	10.15202/1981996x.2017v11n2p64	2022-03-31	1981-996X	2	2017-10-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	ANÁLISE NUMÉRICA DOS ESFORÇOS AERODINÂMICOS PROVENIENTES DE FURACÕES SOBREPAINEIS FOTOVOLTAICOS EXISTENTES NOS ESTADOS UNIDOS DA AMÉRICA	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n2p64	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Katherine Bittencourt Mendes Leitão, Andre Luiz Tenório Rezende, Neelkanth Gurupad Dhere	2017	0	TRUE	NA	NA	B3
Revista Augustus	2016-06-22	2016-06-22	2016-06-20	10.15202/19811896.2016v21n41p40	2022-03-30	1981-1896,1415-398X	41	2016-06-20	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	APLICATIVO FAST WAY: PROPOSTA PARA MOBILIDADE URBANA	journal-article	http://dx.doi.org/10.15202/19811896.2016v21n41p40	21	Rev. Augustus	NA	NA	NA	NA	NA	NA	NA	NA	Denilson Estevam de Oliveira, Everton Rangel Bispo, Marcelo Azevedo Neves, Verônica Scarpini Cândido	2016	0	TRUE	NA	NA	NA
Sustainability in Debate	2015-12-24	2022-09-16	2015-12-23	10.18472/sustdeb.v6n3.2015.16105	2022-09-17	2179-9067,2177-7675	3	2015-12-23	7730	10.18472	Editora de Livros IABS	1	Crossref	0	0	3	Management, Monitoring, Policy and Law,Development	Aproveitamento Integral de Alimentos e o seu Impacto na Saúde	journal-article	http://dx.doi.org/10.18472/sustdeb.v6n3.2015.16105	6	SustDeb	NA	NA	131-143	NA	NA	NA	NA	NA	Fabiane Toste Cardoso, Silvana Camello Fróes, Reis Friede, Maria Geralda De Miranda, Carla Junqueira Chagas, Kátia Eliane Santos Avelar	2015	3	TRUE	0.8	0.202	B2
Semioses	2017-10-30	2017-10-30	2017-10-27	10.15202/1981996x.2017v11n2p28	2022-04-02	1981-996X	2	2017-10-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	ASPECTOS DA AQUICULTURA E SUA IMPORTÂNCIA NA PRODUÇÃO DE ALIMENTOS DE ALTO VALOR BIOLÓGICO	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n2p28	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Silvia Conceição Reis Pereira Mello, Elaine Da Conceição Pinto de Oliveira, Jose Teixeira de Seixas Filho	2017	1	FALSE	NA	NA	B3
Materials Science Forum	2015-06-26	2021-01-12	2015-06	10.4028/www.scientific.net/msf.820.449	2022-03-31	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	25	25	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Assessment of the Technological Properties of High Temperature Fired Clayey Ceramics Incorporated with Glass Waste	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.449	820	MSF	NA	NA	449-454	NA	NA	NA	NA	NA	Alline Sardinha Cordeiro Morais, Thais Mardegan Louzada, Veronica Scarpini Candido, Sergio Neves Monteiro, Carlos Mauricio Fontes Vieira	2015	0	FALSE	1.0	0.185	B3
International Journal of Cardiology	2017-03-01	2018-09-03	NA	10.1016/j.ijcard.2017.02.066	2022-03-30	0167-5273	NA	2017-08	78	10.1016	Elsevier BV	1	Crossref	30	30	6	Cardiology and Cardiovascular Medicine	Autoantibodies with beta-adrenergic activity from chronic chagasic patients induce cardiac arrhythmias and early afterdepolarization in a drug-induced LQT2 rabbit hearts	journal-article	http://dx.doi.org/10.1016/j.ijcard.2017.02.066	240	International Journal of Cardiology	2017-08	en	354-359	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Marco Antonio Vidal Jiménez, José H.M. Nascimento, Gustavo Monnerat, Leonardo Maciel, Claudia N. Paiva, Roberto Coury Pedrosa, Antonio C. Campos de Carvalho, Emiliano Medei	2017	7	FALSE	7.0	1.122	A2
Journal of Materials Research and Technology	2019-12-23	2020-10-08	NA	10.1016/j.jmrt.2019.12.004	2023-06-17	2238-7854	2	2020-03	78	10.1016	Elsevier BV	1	Crossref	35	35	34	Metals and Alloys,Surfaces, Coatings and Films,Biomaterials,Ceramics and Composites	Ballistic behavior of epoxy matrix composites reinforced with piassava fiber against high energy ammunition	journal-article	http://dx.doi.org/10.1016/j.jmrt.2019.12.004	9	Journal of Materials Research and Technology	2020-03	en	1734-1741	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Fabio Da Costa Garcia Filho, Michelle Souza Oliveira, Artur Camposo Pereira, Lucio Fabio Cassiano Nascimento, José Ricardo Gomes Matheus, Sergio Neves Monteiro	2020	34	TRUE	8.5	1.05	A1
Revista Virtual de Química	2014-08-01	2016-11-28	NA	10.5935/1984-6835.20130018	2022-04-04	1984-6835	2	2013	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	4	General Chemistry	Biogenic Amines: A Public Health Problem	journal-article	http://dx.doi.org/10.5935/1984-6835.20130018	5	NA	2013	en	NA	NA	NA	NA	NA	NA	M. Cardozo, K. S. C. Lima, T. C. C. França, A. L. S. Lima	2013	4	TRUE	0.7	0.151	B2
Arquivos Brasileiros de Cardiologia	2017-11-07	2021-03-05	NA	10.5935/abc.20170176	2023-01-09	0066-782X	NA	2017	22636	10.36660	Sociedade Brasileira de Cardiologia	1	Crossref	0	0	6	Cardiology and Cardiovascular Medicine	Bone-Marrow-Derived Mesenchymal Stromal Cells (MSC) from Diabetic and Nondiabetic Rats Have Similar Therapeutic Potentials	journal-article	http://dx.doi.org/10.5935/abc.20170176	NA	NA	2017	en	NA	NA	NA	NA	NA	NA	Vitória Santório de São José, Gustavo Monnerat, Barbara Guerra, Bruno Dias Paredes, Tais Hanae Kasai-Brunswick, Antonio Carlos Campos de Carvalho, Emiliano Medei	2017	6	TRUE	3.4	0.359	B2
Perceptual and Motor Skills	2018-04-10	2018-04-10	2018-04-09	10.1177/0031512518767755	2022-04-14	0031-5125,1558-688X	NA	2018-04-09	179	10.1177	SAGE Publications	1	Crossref	46	46	2	Sensory Systems,Experimental and Cognitive Psychology	Brazilian Portuguese Version of the Amputee Body Image Scale: Cultural Adaptation and a Psychometric Analysis	journal-article	http://dx.doi.org/10.1177/0031512518767755	NA	Percept Mot Skills	NA	en	003151251876775	http://dx.doi.org/10.1177/sage-journals-update-policy	NA	NA	NA	NA	Lucilene Ferreira, Alinne G. M. Meregui, Miriam R. M. Mainenti, Patrícia S. Vigário, Angela N. Neves	2018	2	FALSE	2.8	0.465	B1
Interações (Campo Grande)	2017-05-30	2020-09-09	2017-05-30	10.20435/inter.v18i2.1410	2022-06-14	1984-042X	NA	2017-05-30	8337	10.20435	Universidade Catolica Dom Bosco	1	Crossref	0	0	6	NA	Cadê a minha cidade, ou o impacto da tragédia da Samarco na vida dos moradores de Bento Rodrigues	journal-article	http://dx.doi.org/10.20435/inter.v18i2.1410	NA	Inter	NA	NA	3-12	NA	NA	NA	NA	NA	Maria Geralda Miranda, Reis Friede, Aline Cordeiro Rodrigues, Dafne Sampaio Almeida	2017	6	TRUE	NA	NA	A3
Revista Virtual de Química	2014-04-23	2016-11-28	NA	10.5935/1984-6835.20140049	2022-03-31	1984-6835	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	General Chemistry	CFD and Chemical Defense	journal-article	http://dx.doi.org/10.5935/1984-6835.20140049	6	NA	2014	en	NA	NA	NA	NA	NA	NA	Ardson S. Vianna Jr., Fábio C. S. de Siqueira, Leandro R. Quintal, Antônio Luiz S. Lima	2014	0	TRUE	0.7	0.151	B2
Materials Science Forum	2015-06-26	2021-01-12	2015-06	10.4028/www.scientific.net/msf.820.438	2022-03-31	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	10	10	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Characterization of Precursor Clay Body and Weibull Analysis of the Compressive Strength of Structural Blocks	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.438	820	MSF	NA	NA	438-442	NA	NA	NA	NA	NA	Neila Gondim Azeredo, Jonas Alexandre, Afonso Rangel Garcez de Azevedo, Gustavo de Castro Xavier, Veronica Scarpini Candido, Sergio Neves Monteiro	2015	0	FALSE	1.0	0.185	B3
Journal of Medicinal Plants Research	2014-11-06	2020-08-26	2014-06-10	10.5897/jmpr2013.4425	2022-12-16	1996-0875	22	2014-06-10	3908	10.5897	Academic Journals	1	Crossref	26	26	8	Complementary and alternative medicine,Plant Science,Drug Discovery,Pharmaceutical Science,Pharmacology	Chemical composition and antinociceptive activity of the essential oil of Piper mollicomum and Piper rivinoides	journal-article	http://dx.doi.org/10.5897/jmpr2013.4425	8	J. Med. Plants Res.	NA	NA	788-793	http://dx.doi.org/10.5897/crossmark_policy	NA	NA	NA	NA	P. de Souza Stefnia, S. Valverde Simone, F. Costa Nathalia, S. Calheiros Andrea, S. C. Lima Keila, S. Frutuoso Valber, L. S. Lima Antnio	2014	8	TRUE	NA	NA	B3
Applied Clay Science	2016-07-10	2019-08-10	NA	10.1016/j.clay.2016.07.001	2023-06-28	0169-1317	NA	2016-11	78	10.1016	Elsevier BV	1	Crossref	58	58	49	Geochemistry and Petrology,Geology	Clay bricks added with effluent sludge from paper industry: Technical, economical and environmental benefits	journal-article	http://dx.doi.org/10.1016/j.clay.2016.07.001	132-133	Applied Clay Science	2016-11	en	753-759	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Carlos Maurício F. Vieira, Regina M. Pinheiro, Ruben J. Sanchez Rodriguez, Veronica S. Candido, Sergio N. Monteiro	2016	49	FALSE	10.8	0.985	A1
Semioses	2016-11-11	2016-11-14	2016-11-14	10.15202/1981996x.2016v10n2p77	2022-04-03	1981-996X	2	2016-11-14	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	COLETA SELETIVA DE RESÍDUO SÓLIDO URBANO: UM COMPARATIVO ENTRE AS CIDADES DE BELO HORIZONTE E RIO DE JANEIRO	journal-article	http://dx.doi.org/10.15202/1981996x.2016v10n2p77	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	Débora Coqui Coqui, Rodrigo Otavio De Souza, Roy Reis Friede	2016	0	TRUE	NA	NA	B3
Educação Formação	2019-05-01	2021-06-01	2019-05-01	10.25053/redufor.v4i11.924	2022-04-04	2448-3583	11 mai/ago	2019-05-01	10693	10.25053	Educacao e Formacao	1	Crossref	24	24	1	General Medicine	Coleta seletiva e educação ambiental: reciclar valores e reduzir o lixo	journal-article	http://dx.doi.org/10.25053/redufor.v4i11.924	4	Redufor	NA	pt	117-141	http://dx.doi.org/10.25053/retratacao	NA	NA	LOCKSS	LOCKSS	Reis Friede, Danielle Reis, Katia Avelar, Maria Geralda de Miranda	2019	1	TRUE	NA	NA	A3
International Journal of Engineering Research and Science	2017-12-10	2017-12-10	2017-11-30	10.25125/engineering-journal-ijoer-nov-2017-19	2023-05-15	2395-6992	11	2017-11-30	10749	10.25125	AD Publications	1	Crossref	0	0	5	Industrial and Manufacturing Engineering,Metals and Alloys,Strategy and Management,Mechanical Engineering	Comparison of Turbulence Models in the Flow over a Backward Facing Step	journal-article	http://dx.doi.org/10.25125/engineering-journal-ijoer-nov-2017-19	3	IJOER	NA	NA	88-93	NA	NA	NA	NA	NA	Priscila Pires Araujo, André Luiz Tenório Rezende	2017	5	TRUE	NA	NA	C
Semioses	2018-09-06	2018-09-06	2018-07-27	10.15202/1981996x.2018v12n2p51	2022-03-30	1981-996X	2	2018-07-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	CONHECIMENTO DE ESTUDANTES DA EDUCAÇÃO BÁSICA SOBRE IGUALDADE DE GÊNERO	journal-article	http://dx.doi.org/10.15202/1981996x.2018v12n2p51	12	Semioses	NA	NA	51-66	NA	NA	NA	NA	NA	Renata Corrêa Sinimbú Gomes, Maria Geralda De Miranda, Patricia Maria Dusek, Kátia Eliane Santos Avelar	2018	0	FALSE	NA	NA	B3
Journal of Physical Education	2018-05-15	2018-05-15	2018	10.4025/jphyseduc.v29i1.2936	2023-03-27	2448-2455	1	2018	2451	10.4025	Universidade Estadual de Maringa	1	Crossref	0	0	3	Public Health, Environmental and Occupational Health,Education	CONTROLE POSTURAL DE ATLETAS COM DIFERENTES GRAUS DE  DEFICIÊNCIA VISUAL	journal-article	http://dx.doi.org/10.4025/jphyseduc.v29i1.2936	29	J Phys Educ	NA	NA	NA	NA	NA	NA	NA	NA	Claudemir do Nascimento Santos, Thiago Lemos de Carvalho, Lilian Ramiro Felício, Míriam Raquel  Meira Mainenti, Patrícia dos Santos Vigário	2018	3	TRUE	0.7	0.165	B1
Journal of the Brazilian Chemical Society	2014-05-14	2017-04-13	NA	10.5935/0103-5053.20140100	2022-03-31	0103-5053	NA	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	2	General Chemistry	Degradation of Phenylethylamine and Tyramine by Gamma Radiation Process and Docking Studies of its Radiolytes	journal-article	http://dx.doi.org/10.5935/0103-5053.20140100	NA	NA	2014	en	NA	NA	NA	NA	NA	NA	Monique Cardozo, Stefânia Priscila de Souza, Keila dos Santos Cople Lima, Aline Alves Oliveira, Cláudia Moraes Rezende, Tanos Celmar Costa França, Antonio Luis dos Santos Lima	2014	2	TRUE	3.8	0.316	A2
Revista PAGMAR (Online)	2015-12-11	2016-10-31	NA	10.4322/pagmar.2446-4791.2015.010	2022-04-03	2446-4791	4	2016	2869	10.4322	Editora Cubo	1	Crossref	0	0	0	General Medicine	Demografia e Estabilidade Ambiental	journal-article	http://dx.doi.org/10.4322/pagmar.2446-4791.2015.010	4	PAGMAR	2016	NA	82-84	NA	NA	NA	NA	NA	Reis Friede	2016	0	TRUE	NA	NA	B3
Ciência e Agrotecnologia	2016-02-20	2020-09-15	NA	10.1590/s1413-70542016000100006	2022-12-31	1413-7054	1	2016-02	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	25	25	4	Soil Science,General Veterinary,Agronomy and Crop Science,Animal Science and Zoology,Food Science	Development of a water recirculating system for bullfrog production: technological innovation for small farmers	journal-article	http://dx.doi.org/10.1590/s1413-70542016000100006	40	Ciênc. agrotec.	2016-02	NA	67-75	NA	NA	NA	NA	NA	Sílvia Conceição Reis Pereira Mello, Roberto Rodrigues de Oliveira, Marcelo Maia Pereira, Eliane Rodrigues, Willian Nascimento Silva, José Teixeira de Seixas Filho	2016	4	TRUE	2.5	0.34	A2
Semioses	2017-10-31	2017-10-31	2017-10-27	10.15202/1981996x.2017v11n2p17	2022-12-31	1981-996X	2	2017-10-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	DIAGNÓSTICO DO PRODUTOR FAMILIAR: DESENVOLVIMENTO LOCAL PELO ASSOCIATIVISMO EM RANICULTURA NO MUNICÍPIO DE ITAGUAÍ NO ESTADO DO RIO DE JANEIRO	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n2p17	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Adian de Paula Francisco Almeida, Félix Gargia Lopez, José Teixeira de Seixas Filho	2017	1	FALSE	NA	NA	B3
