journal	created	deposited	published.online	doi	indexed	issn	issue	issued	member	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.print	language	page	update.policy	archive	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
Semioses	2018-09-06	2018-09-06	2018-07-27	10.15202/1981996x.2018v12n2p83	2022-04-04	1981-996X	2	2018-07-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	O DESENVOLVIMENTO LOCAL SOB A PERSPECTIVA DO TRABALHO: UM ESTUDO DE CASO DA FÁBRICA DE TECIDOS DE BANGU	journal-article	http://dx.doi.org/10.15202/1981996x.2018v12n2p83	12	Semioses	NA	NA	83-96	NA	NA	NA	NA	NA	Gercton Bernardo Coitinho, Ana Christina Tavares Martins, Maria Geralda De Miranda, Patricia Maria Dusek, Kátia Eliane Santos Avelar	2018	0	FALSE	NA	NA	B3
Semioses	2018-05-30	2019-09-12	2018-05-25	10.15202/1981996x.2018v12n1p1	2022-04-01	1981-996X	1	2018-05-25	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	O ESPORTE SOCIAL COMO INSTRUMENTO DE DESENVOLVIMENTO LOCAL: ANÁLISE DA EXPECTATIVA DE JOVENS DO INSTITUTO IRMÃOS NOGUEIRA SOB A INFLUÊNCIA DA MÍDIA	journal-article	http://dx.doi.org/10.15202/1981996x.2018v12n1p1	12	Semioses	NA	NA	1-13	NA	NA	NA	NA	NA	Raphael Luz, Felipe Da Silva Triani, José Teixeira de Seixas Filho, Jorge Felipe Fonseca Moreira (Columá)	2018	0	FALSE	NA	NA	B3
Semioses	2016-09-23	2016-11-16	2016-09-23	10.15202/10.15202/1981-996x.2016v10n1p71	2022-04-03	1981-996X	1	2016-09-23	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	O ESTADO DA ARTE DA REPRESA RIBEIRÃO DAS LAJES	journal-article	http://dx.doi.org/10.15202/10.15202/1981-996x.2016v10n1p71	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	Luana Vasconcelos Barbosa, Erik Terra Abrantes, José Teixeira De Seixas Filho	2016	1	TRUE	NA	NA	B3
Semioses	2016-04-25	2016-04-25	2016-04-06	10.15202/1981996x.2015v9n2p12	2022-04-02	1981-996X	2	2016-04-06	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	O ESTADO DA ARTE DO RESERVATÓRIO JAGUARI NO ABASTECIMENTO DA CIDADE DO RIO DE JANEIRO	journal-article	http://dx.doi.org/10.15202/1981996x.2015v9n2p12	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ana Lucia Soares, Roselena Montenegro dos Anjos Machado, José Teixeira de Seixas Filho	2016	0	TRUE	NA	NA	B3
Química Nova na Escola	2015-07-15	2016-11-28	NA	10.5935/0104-8899.20150025	2022-04-02	0104-8899	2	2015	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	Pharmacology (medical)	O Impacto dos Produtos Domissanitários na Saúde da População do Complexo do Alemão – Rio de Janeiro	journal-article	http://dx.doi.org/10.5935/0104-8899.20150025	37	NA	2015	en	NA	NA	NA	NA	NA	NA	Rodrigo Otavio L. de Souza, José T. de Seixas Filho, Maria Geralda de Miranda, Francisco Moysés de Carvalho Neto	2015	0	FALSE	NA	NA	A2
Semioses	2017-12-27	2017-12-27	2017-12-26	10.15202/1981996x.2017v11n4p47	2022-03-30	1981-996X	4	2017-12-26	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	OBSOLESCÊNCIA PROGRAMADA DAS PROFISSÕES NA ERA TECNOLÓGICA: O SURGIMENTO DO NEOPENSADOR	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n4p47	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Paulo Ricardo Oliveira da Salgueiro, Kátia Eliane Santos Avelar, Maria Geralda de Miranda, Antonio Luís dos Santos Lima	2017	0	TRUE	NA	NA	B3
Revista Valore	2017-08-03	2023-05-16	2017-08-02	10.22408/reva12201754141-154	2023-05-17	2526-043X,2525-9008	1	2017-08-02	9701	10.22408	Instituto de Cultura Tecnica Sociedade Civil Ltda	1	Crossref	32	32	0	Industrial and Manufacturing Engineering,Surfaces, Coatings and Films	Os efeitos da terapia do riso sobre as atividades instrumentais da vida diária na concepção de indivíduos idosos	journal-article	http://dx.doi.org/10.22408/reva12201754141-154	2	REVA	NA	NA	141-154	NA	NA	NA	NA	NA	Rafael dos Santos, José Teixeira de Seixas Filho, Maria Auxiliadora Terra Cunha, Felipe da Silva Triani, Jorge Felipe Columá	2017	0	TRUE	NA	NA	B2
The Journal of Sports Medicine and Physical Fitness	2019-01-21	2022-09-10	NA	10.23736/s0022-4707.18.08030-1	2022-09-10	0022-4707,1827-1928	2	2019-01	17149	10.23736	Edizioni Minerva Medica	1	Crossref	38	38	1	Physical Therapy, Sports Therapy and Rehabilitation,Orthopedics and Sports Medicine	Oxidative stress biomarkers after a single maximal test in blind and non-blind soccer players	journal-article	http://dx.doi.org/10.23736/s0022-4707.18.08030-1	59	J Sports Med Phys Fitness	2019-01	NA	NA	NA	NA	NA	NA	NA	Diego Viana Gomes, Patricia Santos Vigário, Bruna K. Lima Piazera, Filipe Pereira Costa, Mario Vaisman, Veronica Salerno Pinto	2019	1	FALSE	3.3	0.496	A4
Materials Science Forum	2015-06-26	2021-01-12	2015-06	10.4028/www.scientific.net/msf.820.13	2022-03-29	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	16	16	1	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Performance of Precursor Materials and Fired Ceramics for Structural Blocks	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.13	820	MSF	NA	NA	13-17	NA	NA	NA	NA	NA	Neila Gondim Azeredo, Euzébio Barnabé Zanelato, Jonas Alexandre, Afonso Rangel Garcez de Azevedo, Gustavo de Castro Xavier, Veronica Scarpini Candido, Sergio Neves Monteiro	2015	1	FALSE	1.0	0.185	B3
Semioses	2016-03-28	2016-03-28	2016-03-24	10.15202/1981996x.2015v9n1p88	2022-04-06	1981-996X	1	2016-03-24	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	POLÍTICAS PÚBLICAS ARQUIVÍSTISTICAS: ACESSO SUSTENTÁVEL À INFORMAÇÃO	journal-article	http://dx.doi.org/10.15202/1981996x.2015v9n1p88	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	Valdete Barros Barbosa, Rafael Reis Pereira Bandeira de Mello, Rodrigo Otavio Lopes de Souza, Silvia Conceição Reis Pereira Mello	2016	0	TRUE	NA	NA	B3
Semioses	2017-12-27	2017-12-27	2017-12-26	10.15202/1981996x.2017v11n4p55	2022-04-05	1981-996X	4	2017-12-26	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	POLÍTICAS PÚBLICAS E INICIATIVAS SOLIDÁRIAS DE FOMENTO À LEITURA	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n4p55	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Edna Parizze de Viveiros, Vera Aparecida Monteiro da Silva Abrantes, Kátia Eliane Santos Avelar, Maria Geralda de Miranda	2017	0	TRUE	NA	NA	B3
Engenharia Sanitaria e Ambiental	2015-11-14	2017-05-23	NA	10.1590/s1413-41522015020000114401	2023-06-11	1413-4152	3	2015-09	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	17	17	4	Waste Management and Disposal	Por uma nova ética ambiental	journal-article	http://dx.doi.org/10.1590/s1413-41522015020000114401	20	Eng. Sanit. Ambient.	2015-09	NA	331-336	NA	NA	NA	NA	NA	Edna Parizzi de Viveiros, Maria Geralda de Miranda, Ana Maria Pires Novaes, Kátia Eliane Santos Avelar	2015	4	TRUE	0.8	0.185	A4
Materials Science Forum	2015-06-26	2021-01-12	2015-06	10.4028/www.scientific.net/msf.820.515	2022-04-02	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	13	13	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Pozzolanic Activity of Wastes from Fired Clay Ceramic Industry for Incorporation into Concrete	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.515	820	MSF	NA	NA	515-519	NA	NA	NA	NA	NA	Mateus de Souza Furriel Dias, Leonardo Gonçalves Pedroti, Carlos Mauricio Fontes Vieira, Sérgio Neves Monteiro, Gustavo de Castro Xavier, Verônica Scarpini Candido	2015	0	FALSE	1.0	0.185	B3
Revista Portuguesa de Educação	2016-12-14	2018-06-07	2016-12-14	10.21814/rpe.7123	2023-05-30	2183-0452,0871-9187	2	2016-12-14	9283	10.21814	University of Minho	1	Crossref	0	0	1	Education	Protagonismo infantil na educação física: uma experiência pedagógica com a capoeira	journal-article	http://dx.doi.org/10.21814/rpe.7123	29	RPE	NA	NA	59	NA	NA	NA	NA	NA	Rodrigo Lema Del Rio Martins, Wagner Dos Santos, André Da Silva Mello, Sebastião Josué Votre	2016	1	TRUE	0.5	0.211	A1
Semioses	2017-10-31	2017-10-31	2017-10-27	10.15202/1981996x.2017v11n2p35	2022-04-02	1981-996X	2	2017-10-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	QUALIDADE DO SÊMEN DE RÃ-TOURO EM DIFERENTES DOSAGENS DE HORMÔNIO, TEMPOS DE COLETA E DE RESFRIAMENTO	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n2p35	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Marcelo Maia Pereira, Silvia Conceição Reis Pereira de Mello, Jose Teixeira de Seixas Filho, William Nascimento Silva	2017	0	FALSE	NA	NA	B3
African Journal of Agricultural Research	2016-01-22	2017-06-24	2016-01-21	10.5897/ajar2015.9565	2023-04-17	1991-637X	3	2016-01-21	3908	10.5897	Academic Journals	1	Crossref	40	40	4	General Agricultural and Biological Sciences	Quality index method (QIM) and quantitative descriptive analysis (QDA) of Nile tilapia (Oreochromis niloticus) quality indices	journal-article	http://dx.doi.org/10.5897/ajar2015.9565	11	Afr. J. Agric. Res.	NA	NA	209-216	http://dx.doi.org/10.5897/crossmark_policy	NA	NA	NA	NA	Pacheco Rodrigues Tatiana, Teixeira Marsico Eliane, Maia Franco Robson, Concei ccedil atilde o Reis Pereira Mello Silvia, Costa Soares Ivone, Oliveira Cavalcanti Zuniga Natalia, Queiroz de Freitas Monica	2016	4	TRUE	NA	NA	B3
Revista Virtual de Química	2014-10-29	2016-11-28	NA	10.5935/1984-6835.20140086	2022-04-05	1984-6835	5	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	4	General Chemistry	Quantification and Characterization of the Main Components of the Ethanolic Extract of Indian Cloves,<i>Syzygium aromaticum</i>[I] Merr. et Perry	journal-article	http://dx.doi.org/10.5935/1984-6835.20140086	6	NA	2014	en	NA	NA	NA	NA	NA	NA	Raphael S. Affonso, Bruno Lessa, Glaucia B. C. A. Slana, Larissa L. Barboza, Fernanda V. de Almeida, Antônio Luiz S. Lima, Felipe R. de Souza, Tanos C. C. França	2014	4	TRUE	0.7	0.151	B2
Ciência Animal Brasileira	2013-04-01	2021-02-13	2013-03-27	10.5216/cab.v14i1.16049	2022-04-05	1809-6891,1518-2797	1	2013-03-27	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	0	0	2	General Veterinary,Animal Science and Zoology	REGIME ALIMENTAR DE GIRINOS DE RÃ TOURO	journal-article	http://dx.doi.org/10.5216/cab.v14i1.16049	14	Ci. Anim. Bras.	NA	NA	NA	NA	NA	NA	NA	NA	José T. de Seixas Filho, Rodrigo Diana Navarro, Silvana L. Ribeiro Garcia, Ana Carolina Da S. Santos	2013	2	TRUE	0.7	0.171	B1
Formação (Online)	2020-08-26	2020-08-26	2020-08-25	10.33081/formacao.v27i51.6794	2022-03-29	2178-7298,1517-543X	51	2020-08-25	18537	10.33081	Revista Formacao	1	Crossref	0	0	0	Microbiology	RESÍDUOS SÓLIDOS URBANOS (RSU): UMA ANÁLISE DO SETOR ENERGÉTICO EM ASCENSÃO COM BASE NO IMPACTO AMBIENTAL E NA QUALIDADE DE VIDA	journal-article	http://dx.doi.org/10.33081/formacao.v27i51.6794	27	RF	NA	NA	NA	NA	NA	NA	NA	NA	Helen Gonçalves Romeiro Ferreira, Gustavo Malavota Pedroso, Rodrigo Gomes Alves, Gustavo Monnerat Cahli, Sílvia Conceição Reis Pereira Mello	2020	0	TRUE	NA	NA	A3
Semioses	2016-04-25	2016-04-25	2016-04-06	10.15202/1981996x.2015v9n2p77	2023-04-28	1981-996X	2	2016-04-06	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	2	General Medicine	RESÍDUOS SÓLIDOS: RESPONSABILIDADE COMPARTILHADA	journal-article	http://dx.doi.org/10.15202/1981996x.2015v9n2p77	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	Marcio Barreto dos Santos Garcia, João Lanzellotti Neto, Jaqueline Guimarães Mendes, Flavia Miranda de Freitas Xerfan, Carlos Alexandre Bastos de Vasconcellos, Roy Reis Friede	2016	2	TRUE	NA	NA	B3
Revista Virtual de Química	2014-10-29	2016-11-28	NA	10.5935/1984-6835.20140087	2022-04-04	1984-6835	5	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	1	General Chemistry	Reutilization of Glycerol Derived from Biodiesel Production Using HPW-Based Catalysts Supported on Niobium for Obtention of Additives	journal-article	http://dx.doi.org/10.5935/1984-6835.20140087	6	NA	2014	en	NA	NA	NA	NA	NA	NA	Claudia V. Lacerda, Rodrigo Otávio L. de Souza, Nadine Essayem, Wilma A. Gonzalez	2014	1	TRUE	0.7	0.151	B2
Revista Virtual de Química	2014-04-23	2016-11-28	NA	10.5935/1984-6835.20140045	2022-04-06	1984-6835	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	General Chemistry	Ricin and the Chemical Weapons Convention in Brazil	journal-article	http://dx.doi.org/10.5935/1984-6835.20140045	6	NA	2014	en	NA	NA	NA	NA	NA	NA	Roberto B. Sousa, Sérgio Eduardo M. de Oliveira, Marcelo C. dos Santos, Keila S. C. Lima, Antônio Luiz S. Lima	2014	0	TRUE	0.7	0.151	B2
Semioses	2016-12-26	2016-12-26	2016-12-26	10.15202/1981996x.2016v10n3p69	2022-03-30	1981-996X	3	2016-12-26	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	RIO CARIOCA: SUA HISTÓRIA E SUA DEGRADAÇÃO	journal-article	http://dx.doi.org/10.15202/1981996x.2016v10n3p69	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mariana Da Silva Ogeda, Thais Ramos da Araújo, José Teixeira de Seixas Filho	2016	0	TRUE	NA	NA	B3
Revista Estudos Feministas	2015-05-20	2019-08-25	NA	10.1590/0104-026x2015v23n2p409	2022-03-29	0104-026X	2	2015-08	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	35	35	1	Gender Studies	Rosiclea Campos no judô feminino brasileiro	journal-article	http://dx.doi.org/10.1590/0104-026x2015v23n2p409	23	Rev. Estud. Fem.	2015-08	NA	409-429	NA	NA	NA	NA	NA	Gabriela Conceição de Souza, Sebastião Josué Votre, Maria Claudia Pinheiro, Fabiano Pries Devide	2015	1	TRUE	0.6	0.293	A1
Revista da Sociedade Brasileira de Medicina Tropical	2016-10-29	2017-05-23	NA	10.1590/0037-8682-0115-2016	2022-04-04	0037-8682	5	2016-10	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	15	15	3	Infectious Diseases,Microbiology (medical),Parasitology	Seroprevalence of and risk factors for leptospirosis in the City of Manaus, State of Amazonas, Brazil	journal-article	http://dx.doi.org/10.1590/0037-8682-0115-2016	49	Rev. Soc. Bras. Med. Trop.	2016-10	NA	628-631	NA	NA	NA	NA	NA	Luciete Almeida Silva, Kátia Maria da Silva Lima, Ormezinda Celeste Cristo Fernandes, Ilana Teruszkin Balassiano, Kátia Eliane Santos Avelar, Michele Silva de Jesus	2016	3	TRUE	2.9	0.421	B1
Materials Science Forum	2016-08-31	2021-01-12	2016-08	10.4028/www.scientific.net/msf.869.543	2022-04-05	1662-9752	NA	2016-08	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	0	0	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Special Effects in Deformation Mechanism Maps for Austenitic Stainless Steels	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.869.543	869	MSF	NA	NA	543-549	NA	NA	NA	NA	NA	Sergio Neves Monteiro, Frederico Muylaert Margem, Lucas Tedesco Bolzan, George Lobo Nobre Fernandes, Verônica Scarpini Cândido	2016	0	FALSE	1.0	0.185	B3
Materials Science Forum	2015-06-26	2022-05-15	2015-06	10.4028/www.scientific.net/msf.820.40	2022-05-15	1662-9752	NA	2015-06	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	10	10	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Study of a Typical Soil Used for Concrete Bricks in Miracema, State of Rio de Janeiro, Brazil	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.820.40	820	MSF	NA	NA	40-45	NA	NA	NA	NA	NA	Niander Aguiar Cerqueira, Jonas Alexandre, Afonso Rangel Garcez de Azevedo, Gustavo de Castro Xavier, Veronica Scarpini Candido, Carlos Maurício Fontes Vieira, Sergio Neves Monteiro	2015	0	FALSE	1.0	0.185	B3
European Polymer Journal	2016-03-22	2018-09-14	NA	10.1016/j.eurpolymj.2016.03.031	2023-06-27	0014-3057	NA	2016-05	78	10.1016	Elsevier BV	1	Crossref	38	38	72	Organic Chemistry,Polymers and Plastics,General Physics and Astronomy,Materials Chemistry	Sugarcane bagasse waste in composites for multilayered armor	journal-article	http://dx.doi.org/10.1016/j.eurpolymj.2016.03.031	78	European Polymer Journal	2016-05	en	173-185	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Sergio N. Monteiro, Veronica S. Candido, Fabio O. Braga, Lucas T. Bolzan, Ricardo P. Weber, Jaroslaw W. Drelich	2016	72	FALSE	9.6	0.884	A1
Semioses	2017-10-31	2017-10-31	2017-10-27	10.15202/1981996x.2017v11n2p40	2022-04-03	1981-996X	2	2017-10-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	TÉCNICA DE FERTILIZAÇÃO ARTIFICIAL DE ANFÍBIOS ANUROS	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n2p40	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	William Nascimento Silva, Marianna Severo de Souza, Elaine Da Conceição Pinto de Oliveira, Marcelo Maia Pereira, Jose Teixeira de Seixas Filho, Silvia Conceição Reis Pereira Mello	2017	0	FALSE	NA	NA	B3
Materials Science Forum	2016-08-31	2021-01-12	2016-08	10.4028/www.scientific.net/msf.869.221	2023-01-16	1662-9752	NA	2016-08	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	0	0	2	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Tensile Behavior of Epoxy Composites Reinforced with Thinner Fibers of Sugarcane Bagasse	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.869.221	869	MSF	NA	NA	221-226	NA	NA	NA	NA	NA	Verônica Scarpini Cândido, Sergio Neves Monteiro	2016	2	FALSE	1.0	0.185	B3
Journal of Wind Engineering and Industrial Aerodynamics	2014-08-09	2019-12-03	NA	10.1016/j.jweia.2014.07.007	2022-11-21	0167-6105	NA	2014-10	78	10.1016	Elsevier BV	1	Crossref	22	22	8	Mechanical Engineering,Renewable Energy, Sustainability and the Environment,Civil and Structural Engineering	The challenging case of the turbulent flow around a thin plate wind deflector, and its numerical prediction by LES and RANS models	journal-article	http://dx.doi.org/10.1016/j.jweia.2014.07.007	133	Journal of Wind Engineering and Industrial Aerodynamics	2014-10	en	52-64	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Luiz Eduardo B. Sampaio, André Luiz T. Rezende, Angela O. Nieckele	2014	8	FALSE	8.1	1.207	A2
Materials Science Forum	2016-08-31	2021-01-12	2016-08	10.4028/www.scientific.net/msf.869.508	2022-04-03	1662-9752	NA	2016-08	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	0	0	1	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	The Effect of Phase Transformation on the Tensile Fracture of Austenitic Stainless Steel	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.869.508	869	MSF	NA	NA	508-513	NA	NA	NA	NA	NA	Verônica Scarpini Cândido, Sergio Neves Monteiro	2016	1	FALSE	1.0	0.185	B3
Semioses	2016-11-11	2016-11-14	2016-11-14	10.15202/1981996x.2016v10n2p60	2022-04-03	1981-996X	2	2016-11-14	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	THE LEGAL SYSTEM OF THE BRAZILIAN SPELEOLOGICAL PATRIMONY	journal-article	http://dx.doi.org/10.15202/1981996x.2016v10n2p60	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	André Carlos Carlos, Reis Freire, Kátia Eliane Santos Avelar, Maria Geralda De Miranda	2016	0	TRUE	NA	NA	B3
Semioses	2016-12-26	2016-12-26	2016-12-26	10.15202/1981996x.2016v10n3p78	2022-03-30	1981-996X	3	2016-12-26	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	THE PROTECTION OF THE ENVIRONMENT IN THE BRAZILIAN SUPREME FEDERAL COURT: ANALYSIS OF REAL CASES	journal-article	http://dx.doi.org/10.15202/1981996x.2016v10n3p78	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reis Friede	2016	0	TRUE	NA	NA	B3
Interações (Campo Grande)	2018-10-17	2020-09-09	2018-10-05	10.20435/inter.v19i4.1764	2022-04-04	1984-042X	NA	2018-10-05	8337	10.20435	Universidade Catolica Dom Bosco	1	Crossref	0	0	2	NA	Uma avaliação do Programa Bolsa Família	journal-article	http://dx.doi.org/10.20435/inter.v19i4.1764	NA	Inter	NA	NA	713-726	NA	NA	NA	NA	NA	Sara Verônica de Avelar Dias Dantas, Maria Geralda de Miranda, Patricia Maria Dusek, Kátia Eliane Santos Avelar	2018	2	TRUE	NA	NA	A3
Sustainability in Debate	2016-04-30	2022-09-16	2016-04-30	10.18472/sustdeb.v7n1.2016.16190	2022-09-17	2179-9067,2177-7675	1	2016-04-30	7730	10.18472	Editora de Livros IABS	1	Crossref	0	0	0	Management, Monitoring, Policy and Law,Development	Utilização do Conhecimento no Desenvolvimento Econômico:	journal-article	http://dx.doi.org/10.18472/sustdeb.v7n1.2016.16190	7	SustDeb	NA	NA	107-120	NA	NA	análise de empresas de tecnologia da informação com  foco na economia sustentável	NA	NA	Robson da Silva Teixeira, Rodrigo Otavio Lopes de Souza	2016	0	TRUE	0.8	0.202	B2
Materials Science Forum	2016-08-31	2021-01-12	2016-08	10.4028/www.scientific.net/msf.869.538	2022-04-02	1662-9752	NA	2016-08	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	0	0	0	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Work Hardening and Microstructural Effect during Dynamic Deformation of Polycrystalline Copper	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.869.538	869	MSF	NA	NA	538-542	NA	NA	NA	NA	NA	Sergio Neves Monteiro, Verônica Scarpini Cândido, Fernanda Santos da Luz, Jheison Lopes dos Santos	2016	0	FALSE	1.0	0.185	B3
